Event Name,494_bus.mtx.crs,494_bus_gauss_0p01_0p01_nonzero.mtx.crs,494_bus_gauss_0p01_0p05_nonzero.mtx.crs,494_bus_gauss_0p01_0p10_nonzero.mtx.crs,494_bus_gauss_0p05_0p01_nonzero.mtx.crs,494_bus_gauss_0p05_0p05_nonzero.mtx.crs,494_bus_gauss_0p05_0p10_nonzero.mtx.crs,494_bus_gauss_0p10_0p01_nonzero.mtx.crs,494_bus_gauss_0p10_0p05_nonzero.mtx.crs,494_bus_gauss_0p10_0p10_nonzero.mtx.crs
UOPS_DISPATCHED_PORT.PORT_7,741873,747027,746976,750259,734106,732411,750838,741574,748048,748124
INT_MISC.RECOVERY_CYCLES_ANY,386900,393129,364623,293702,335910,418247,345174,329963,352104,345851
INST_RETIRED.PREC_DIST,44623155,44714519,44718375,44761229,44603455,44686344,44778983,44686520,44710360,44755099
LSD.CYCLES_4_UOPS,0,0,0,0,0,0,0,0,0,0
