err_rate,inj_rate,run_id,k,error,detected,sum_Ap,expected_sum,abft_error
0.4,0.09,138,1,True,False,10224.7,10224.7,False
0.0,0.0,73,1,False,False,10219.7,10219.7,False
0.0,0.0,81,1,False,False,10219.7,10219.7,False
0.8,0.01,170,1,True,False,10229.4,10229.4,False
0.2,0.03,112,1,True,False,10222.1,10222.1,False
1.0,0.08,197,1,True,False,10253.1,10253.1,False
0.0,0.0,9,1,False,False,10219.7,10219.7,False
0.7,0.1,169,1,True,False,10252.9,10252.9,False
0.6,0.01,150,1,True,False,10213.9,10213.9,False
0.5,0.09,148,1,True,False,10226.5,10226.5,False
0.3,0.01,120,1,True,False,10218.1,10218.1,False
0.0,0.0,66,1,False,False,10219.7,10219.7,False
0.0,0.0,96,1,False,False,10219.7,10219.7,False
0.9,0.02,181,1,True,False,10223.6,10223.6,False
0.0,0.0,13,1,False,False,10219.7,10219.7,False
0.0,0.0,57,1,False,False,10219.7,10219.7,False
0.0,0.0,29,1,False,False,10219.7,10219.7,False
0.0,0.0,77,1,False,False,10219.7,10219.7,False
0.2,0.1,119,1,True,False,10222.5,10222.5,False
0.3,0.03,122,1,True,False,10218.1,10218.1,False
0.0,0.0,52,1,False,False,10219.7,10219.7,False
0.0,0.0,89,1,False,False,10219.7,10219.7,False
0.6,0.03,152,1,True,False,10217.3,10217.3,False
0.0,0.0,11,1,False,False,10219.7,10219.7,False
0.3,0.02,121,1,True,False,10221.8,10221.8,False
0.4,0.06,135,1,True,False,10230.8,10230.8,False
0.0,0.0,72,1,False,False,10219.7,10219.7,False
0.3,0.09,128,1,True,False,10206.5,10206.5,False
0.5,0.06,145,1,True,False,10218.4,10218.4,False
0.0,0.0,27,1,False,False,10219.7,10219.7,False
0.0,0.0,64,1,False,False,10219.7,10219.7,False
0.7,0.09,168,1,True,False,10237.1,10237.1,False
0.0,0.0,38,1,False,False,10219.7,10219.7,False
0.8,0.07,176,1,True,False,10180.3,10180.3,False
0.0,0.0,76,1,False,False,10219.7,10219.7,False
0.9,0.06,185,1,True,False,10237.9,10237.9,False
0.0,0.0,68,1,False,False,10219.7,10219.7,False
0.0,0.0,75,1,False,False,10219.7,10219.7,False
0.0,0.0,14,1,False,False,10219.7,10219.7,False
0.6,0.05,154,1,True,False,10207.4,10207.4,False
0.0,0.0,62,1,False,False,10219.7,10219.7,False
0.4,0.03,132,1,True,False,10214.3,10214.3,False
0.3,0.07,126,1,True,False,10220.8,10220.8,False
0.9,0.1,189,1,True,False,10168.7,10168.7,False
0.2,0.09,118,1,True,False,10227.6,10227.6,False
0.6,0.02,151,1,True,False,10224.5,10224.5,False
0.0,0.0,98,1,False,False,10219.7,10219.7,False
0.4,0.02,131,1,True,False,10217.2,10217.2,False
0.8,0.04,173,1,True,False,10234.2,10234.2,False
0.0,0.0,12,1,False,False,10219.7,10219.7,False
0.5,0.08,147,1,True,False,10213.7,10213.7,False
0.4,0.04,133,1,True,False,10228.4,10228.4,False
0.0,0.0,2,1,False,False,10219.7,10219.7,False
0.0,0.0,46,1,False,False,10219.7,10219.7,False
0.0,0.0,50,1,False,False,10219.7,10219.7,False
0.0,0.0,74,1,False,False,10219.7,10219.7,False
0.2,0.01,110,1,True,False,10220.5,10220.5,False
1.0,0.1,199,1,True,False,10229.2,10229.2,False
0.0,0.0,18,1,False,False,10219.7,10219.7,False
0.5,0.07,146,1,True,False,10194.7,10194.7,False
0.6,0.08,157,1,True,False,10218.2,10218.2,False
0.0,0.0,43,1,False,False,10219.7,10219.7,False
0.0,0.0,61,1,False,False,10219.7,10219.7,False
0.0,0.0,33,1,False,False,10219.7,10219.7,False
0.0,0.0,5,1,False,False,10219.7,10219.7,False
0.9,0.01,180,1,True,False,10221.0,10221.0,False
0.0,0.0,35,1,False,False,10219.7,10219.7,False
0.1,0.06,105,1,True,False,10217.2,10217.2,False
0.0,0.0,59,1,False,False,10219.7,10219.7,False
0.7,0.04,163,1,True,False,10195.3,10195.3,False
0.0,0.0,10,1,False,False,10219.7,10219.7,False
0.3,0.06,125,1,True,False,10219.3,10219.3,False
1.0,0.07,196,1,True,False,10241.3,10241.3,False
0.2,0.06,115,1,True,False,10224.7,10224.7,False
0.0,0.0,26,1,False,False,10219.7,10219.7,False
0.0,0.0,79,1,False,False,10219.7,10219.7,False
