# started on Tue Oct 31 15:11:40 2023


 Performance counter stats for './crs_matmult_omp':

           378,892      l1d.replacement                                               (9.32%)
     <not counted>      mem_inst_retired.stlb_miss_loads                                     (0.00%)
     <not counted>      mem_inst_retired.stlb_miss_stores                                     (0.00%)
     <not counted>      mem_load_l3_hit_retired.xsnp_hit                                     (0.00%)
     <not counted>      mem_load_l3_hit_retired.xsnp_hitm                                     (0.00%)
     <not counted>      mem_load_l3_hit_retired.xsnp_miss                                     (0.00%)
     <not counted>      mem_load_l3_hit_retired.xsnp_none                                     (0.00%)
     <not counted>      mem_load_misc_retired.uc                                      (0.00%)
     <not counted>      mem_load_retired.fb_hit                                       (0.00%)
     <not counted>      mem_load_retired.l1_hit                                       (0.00%)
     <not counted>      mem_load_retired.l1_miss                                      (0.00%)
     <not counted>      mem_load_retired.l2_hit                                       (0.00%)
     <not counted>      mem_load_retired.l2_miss                                      (0.00%)
     <not counted>      mem_load_retired.l3_hit                                       (0.00%)
     <not counted>      mem_load_retired.l3_miss                                      (0.00%)
     <not counted>      offcore_requests.all_data_rd                                     (0.00%)
     <not counted>      offcore_requests.all_requests                                     (0.00%)
     <not counted>      offcore_requests.demand_code_rd                                     (0.00%)
     <not counted>      offcore_requests.demand_data_rd                                     (0.00%)
     <not counted>      offcore_requests.demand_rfo                                     (0.00%)
     <not counted>      offcore_requests_buffer.sq_full                                     (0.00%)
     <not counted>      offcore_requests_outstanding.all_data_rd                                     (0.00%)
     <not counted>      offcore_requests_outstanding.cycles_with_data_rd                                     (0.00%)
     <not counted>      offcore_requests_outstanding.cycles_with_demand_code_rd                                     (0.00%)
     <not counted>      offcore_requests_outstanding.cycles_with_demand_data_rd                                     (0.00%)
     <not counted>      offcore_requests_outstanding.cycles_with_demand_rfo                                     (0.00%)
     <not counted>      offcore_requests_outstanding.demand_code_rd                                     (0.00%)
     <not counted>      offcore_requests_outstanding.demand_data_rd                                     (0.00%)
     <not counted>      offcore_requests_outstanding.demand_data_rd_ge_6                                     (0.00%)
     <not counted>      offcore_requests_outstanding.demand_rfo                                     (0.00%)
     <not counted>      offcore_response                                              (0.00%)
     <not counted>      offcore_response.demand_code_rd.any_response                                     (0.00%)
     <not counted>      offcore_response.demand_code_rd.l3_hit.any_snoop                                     (0.00%)
     <not counted>      offcore_response.demand_code_rd.l3_hit.snoop_hitm                                     (0.00%)
     <not counted>      offcore_response.demand_code_rd.l3_hit.snoop_hit_no_fwd                                     (0.00%)
     <not counted>      offcore_response.demand_code_rd.l3_hit.snoop_miss                                     (0.00%)
     <not counted>      offcore_response.demand_code_rd.l3_hit.snoop_none                                     (0.00%)
     <not counted>      offcore_response.demand_code_rd.l3_hit.snoop_not_needed                                     (0.00%)
     <not counted>      offcore_response.demand_code_rd.l3_hit.spl_hit                                     (0.00%)
     <not counted>      offcore_response.demand_code_rd.l3_hit_e.any_snoop                                     (0.00%)
     <not counted>      offcore_response.demand_code_rd.l3_hit_e.snoop_hitm                                     (0.00%)
     <not counted>      offcore_response.demand_code_rd.l3_hit_e.snoop_hit_no_fwd                                     (0.00%)
     <not counted>      offcore_response.demand_code_rd.l3_hit_e.snoop_miss                                     (0.00%)
     <not counted>      offcore_response.demand_code_rd.l3_hit_e.snoop_none                                     (0.00%)
     <not counted>      offcore_response.demand_code_rd.l3_hit_e.snoop_not_needed                                     (0.00%)
     <not counted>      offcore_response.demand_code_rd.l3_hit_e.spl_hit                                     (0.00%)
     <not counted>      offcore_response.demand_code_rd.l3_hit_m.any_snoop                                     (0.00%)
     <not counted>      offcore_response.demand_code_rd.l3_hit_m.snoop_hitm                                     (0.00%)
     <not counted>      offcore_response.demand_code_rd.l3_hit_m.snoop_hit_no_fwd                                     (0.00%)
     <not counted>      offcore_response.demand_code_rd.l3_hit_m.snoop_miss                                     (0.00%)
     <not counted>      offcore_response.demand_code_rd.l3_hit_m.snoop_none                                     (0.00%)
     <not counted>      offcore_response.demand_code_rd.l3_hit_m.snoop_not_needed                                     (0.00%)
     <not counted>      offcore_response.demand_code_rd.l3_hit_m.spl_hit                                     (0.00%)
     <not counted>      offcore_response.demand_code_rd.l3_hit_s.any_snoop                                     (0.00%)
     <not counted>      offcore_response.demand_code_rd.l3_hit_s.snoop_hitm                                     (0.00%)
     <not counted>      offcore_response.demand_code_rd.l3_hit_s.snoop_hit_no_fwd                                     (0.00%)
     <not counted>      offcore_response.demand_code_rd.l3_hit_s.snoop_miss                                     (0.00%)
     <not counted>      offcore_response.demand_code_rd.l3_hit_s.snoop_none                                     (0.00%)
     <not counted>      offcore_response.demand_code_rd.l3_hit_s.snoop_not_needed                                     (0.00%)
     <not counted>      offcore_response.demand_code_rd.l3_hit_s.spl_hit                                     (0.00%)
     <not counted>      offcore_response.demand_code_rd.l4_hit_local_l4.any_snoop                                     (0.00%)
     <not counted>      offcore_response.demand_code_rd.l4_hit_local_l4.snoop_hitm                                     (0.00%)
     <not counted>      offcore_response.demand_code_rd.l4_hit_local_l4.snoop_hit_no_fwd                                     (0.00%)
     <not counted>      offcore_response.demand_code_rd.l4_hit_local_l4.snoop_miss                                     (0.00%)
     <not counted>      offcore_response.demand_code_rd.l4_hit_local_l4.snoop_none                                     (0.00%)
     <not counted>      offcore_response.demand_code_rd.l4_hit_local_l4.snoop_not_needed                                     (0.00%)
     <not counted>      offcore_response.demand_code_rd.l4_hit_local_l4.spl_hit                                     (0.00%)
     <not counted>      offcore_response.demand_code_rd.supplier_none.any_snoop                                     (0.00%)
     <not counted>      offcore_response.demand_code_rd.supplier_none.snoop_hitm                                     (0.00%)
     <not counted>      offcore_response.demand_code_rd.supplier_none.snoop_hit_no_fwd                                     (0.00%)
     <not counted>      offcore_response.demand_code_rd.supplier_none.snoop_miss                                     (0.00%)
     <not counted>      offcore_response.demand_code_rd.supplier_none.snoop_none                                     (0.00%)
