Event Name,494_bus.mtx.crs,494_bus_gauss_0p01_0p01_nonzero.mtx.crs,494_bus_gauss_0p01_0p05_nonzero.mtx.crs,494_bus_gauss_0p01_0p10_nonzero.mtx.crs,494_bus_gauss_0p05_0p01_nonzero.mtx.crs,494_bus_gauss_0p05_0p05_nonzero.mtx.crs,494_bus_gauss_0p05_0p10_nonzero.mtx.crs,494_bus_gauss_0p10_0p01_nonzero.mtx.crs,494_bus_gauss_0p10_0p05_nonzero.mtx.crs,494_bus_gauss_0p10_0p10_nonzero.mtx.crs
CPU_CLK_UNHALTED.THREAD_P,23763708,23885054,24760193,24237801,25056450,24137021,24223723,23652379,23784690,23800170
UOPS_EXECUTED.CYCLES_GE_2_UOPS_EXEC,17118973,17201302,17147403,17124858,17158377,17154081,17167909,17139910,17121408,17150239
CPU_CLK_THREAD_UNHALTED.REF_XCLK,361820,195086,198543,187653,197984,193545,187975,186947,182244,190845
MACHINE_CLEARS.COUNT,1994,2069,1638,2095,1609,1141,1395,1132,3110,1138
