Event Name,494_bus.mtx.crs,494_bus_gauss_0p01_0p01_nonzero.mtx.crs,494_bus_gauss_0p01_0p05_nonzero.mtx.crs,494_bus_gauss_0p01_0p10_nonzero.mtx.crs,494_bus_gauss_0p05_0p01_nonzero.mtx.crs,494_bus_gauss_0p05_0p05_nonzero.mtx.crs,494_bus_gauss_0p05_0p10_nonzero.mtx.crs,494_bus_gauss_0p10_0p01_nonzero.mtx.crs,494_bus_gauss_0p10_0p05_nonzero.mtx.crs,494_bus_gauss_0p10_0p10_nonzero.mtx.crs
EXE_ACTIVITY.BOUND_ON_STORES,220070,210873,218086,207022,207944,214876,231558,210681,207570,207655
CYCLE_ACTIVITY.CYCLES_L1D_MISS,1433718,1225905,1320733,1555817,2989811,1388241,1697138,1205646,1144635,2192743
LSD.CYCLES_ACTIVE,0,0,0,0,0,0,0,0,0,0
INT_MISC.RECOVERY_CYCLES,330487,455129,342576,321050,312518,291519,317131,282643,341194,340772
