Event Name,494_bus.mtx.crs,494_bus_gauss_0p01_0p01_nonzero.mtx.crs,494_bus_gauss_0p01_0p05_nonzero.mtx.crs,494_bus_gauss_0p01_0p10_nonzero.mtx.crs,494_bus_gauss_0p05_0p01_nonzero.mtx.crs,494_bus_gauss_0p05_0p05_nonzero.mtx.crs,494_bus_gauss_0p05_0p10_nonzero.mtx.crs,494_bus_gauss_0p10_0p01_nonzero.mtx.crs,494_bus_gauss_0p10_0p05_nonzero.mtx.crs,494_bus_gauss_0p10_0p10_nonzero.mtx.crs
INST_RETIRED.ANY,44646290,44621578,44668466,44713702,44670150,44655460,44729482,44654635,44663039,44746758
UOPS_EXECUTED.CORE_CYCLES_GE_2,17166048,17100829,17083409,17110580,17234128,17167458,17194935,17232810,17166945,17150294
RESOURCE_STALLS.SB,216945,228800,227466,217764,217809,214568,217800,237333,219482,219603
CPU_CLK_UNHALTED.RING0_TRANS,4,2,6,8,1,1,4,2,0,1
