Event Name,494_bus.mtx.crs,494_bus_gauss_0p01_0p01_nonzero.mtx.crs,494_bus_gauss_0p01_0p05_nonzero.mtx.crs,494_bus_gauss_0p01_0p10_nonzero.mtx.crs,494_bus_gauss_0p05_0p01_nonzero.mtx.crs,494_bus_gauss_0p05_0p05_nonzero.mtx.crs,494_bus_gauss_0p05_0p10_nonzero.mtx.crs,494_bus_gauss_0p10_0p01_nonzero.mtx.crs,494_bus_gauss_0p10_0p05_nonzero.mtx.crs,494_bus_gauss_0p10_0p10_nonzero.mtx.crs
UOPS_EXECUTED.CORE_CYCLES_GE_4,8944442,6486160,6524015,6525862,6541019,6564819,6582361,6428776,6416319,6375419
CPU_CLK_UNHALTED.REF_TSC,67461487,15945711,15333088,15781454,14909622,14790683,15121189,15911930,15288932,15072136
BR_MISP_RETIRED.ALL_BRANCHES,43070,42005,45046,46468,42421,38675,41318,54637,47015,49191
OTHER_ASSISTS.ANY,110,97,100,97,95,98,99,97,98,99
