Event Name,494_bus.mtx.crs,494_bus_gauss_0p01_0p01_nonzero.mtx.crs,494_bus_gauss_0p01_0p05_nonzero.mtx.crs,494_bus_gauss_0p01_0p10_nonzero.mtx.crs,494_bus_gauss_0p05_0p01_nonzero.mtx.crs,494_bus_gauss_0p05_0p05_nonzero.mtx.crs,494_bus_gauss_0p05_0p10_nonzero.mtx.crs,494_bus_gauss_0p10_0p01_nonzero.mtx.crs,494_bus_gauss_0p10_0p05_nonzero.mtx.crs,494_bus_gauss_0p10_0p10_nonzero.mtx.crs
UOPS_ISSUED.ANY,60851070,60987194,61344759,61002922,61008684,60842847,60735005,60929281,61524473,60804150
CPU_CLK_UNHALTED.THREAD,23450083,23622558,23615469,23756348,23997854,23725240,24197106,23570169,24503915,23796701
CPU_CLK_UNHALTED.REF_XCLK_ANY,626792,176718,168458,173176,182495,172340,176389,174128,196488,178891
BR_INST_RETIRED.NEAR_CALL,125180,124386,125857,125229,124636,125068,124832,123800,124611,124865
