Event Name,494_bus.mtx.crs,494_bus_gauss_0p01_0p01_nonzero.mtx.crs,494_bus_gauss_0p01_0p05_nonzero.mtx.crs,494_bus_gauss_0p01_0p10_nonzero.mtx.crs,494_bus_gauss_0p05_0p01_nonzero.mtx.crs,494_bus_gauss_0p05_0p05_nonzero.mtx.crs,494_bus_gauss_0p05_0p10_nonzero.mtx.crs,494_bus_gauss_0p10_0p01_nonzero.mtx.crs,494_bus_gauss_0p10_0p05_nonzero.mtx.crs,494_bus_gauss_0p10_0p10_nonzero.mtx.crs
BR_MISP_RETIRED.NEAR_CALL,541,633,556,557,662,561,822,540,574,558
CYCLE_ACTIVITY.STALLS_TOTAL,2872064,2811165,2968501,2670684,2789883,2625551,3033360,2562993,2711163,2787952
UOPS_ISSUED.SLOW_LEA,6356108,6298988,6352701,6300251,6347926,6318401,6325140,6275846,6331784,6387643
UOPS_RETIRED.TOTAL_CYCLES,23779567,23890097,23881701,23322656,23628583,23301467,24027651,23198306,23419972,23616669
