Event Name,494_bus.mtx.crs,494_bus_gauss_0p01_0p01_nonzero.mtx.crs,494_bus_gauss_0p01_0p05_nonzero.mtx.crs,494_bus_gauss_0p01_0p10_nonzero.mtx.crs,494_bus_gauss_0p05_0p01_nonzero.mtx.crs,494_bus_gauss_0p05_0p05_nonzero.mtx.crs,494_bus_gauss_0p05_0p10_nonzero.mtx.crs,494_bus_gauss_0p10_0p01_nonzero.mtx.crs,494_bus_gauss_0p10_0p05_nonzero.mtx.crs,494_bus_gauss_0p10_0p10_nonzero.mtx.crs
INST_RETIRED.ANY_P,44622258,44630044,44672362,44703933,44623077,44660447,44706755,44684708,44671893,44704600
UOPS_EXECUTED.STALL_CYCLES,2793193,2712017,2806896,2646522,2983407,2730647,2666564,2731554,2854512,2767888
EXE_ACTIVITY.4_PORTS_UTIL,4366806,4471001,4464159,4475627,4438972,4455137,4377153,4460807,4359577,4384769
ARITH.DIVIDER_ACTIVE,19180,18894,19085,19003,18927,19282,18993,19207,19139,18830
