Event Name,494_bus.mtx.crs,494_bus_gauss_0p01_0p01_nonzero.mtx.crs,494_bus_gauss_0p01_0p05_nonzero.mtx.crs,494_bus_gauss_0p01_0p10_nonzero.mtx.crs,494_bus_gauss_0p05_0p01_nonzero.mtx.crs,494_bus_gauss_0p05_0p05_nonzero.mtx.crs,494_bus_gauss_0p05_0p10_nonzero.mtx.crs,494_bus_gauss_0p10_0p01_nonzero.mtx.crs,494_bus_gauss_0p10_0p05_nonzero.mtx.crs,494_bus_gauss_0p10_0p10_nonzero.mtx.crs
INST_RETIRED.ANY_P,44656714,44662558,44717372,44698663,44619585,44662501,44707612,44668222,44665221,44700721
UOPS_EXECUTED.STALL_CYCLES,2575451,3328405,2715097,2588884,2910116,2870426,2973414,2695276,2856956,2807415
EXE_ACTIVITY.4_PORTS_UTIL,4445761,4379627,4441795,4487174,4431796,4424642,4384116,4479977,4480816,4486538
ARITH.DIVIDER_ACTIVE,18937,18944,19206,18945,18788,18991,18991,19097,18944,18825
